,Title,URL,Index,Duration
0,Andrej Karpathy - AI for Full-Self Driving at Tesla,https://www.youtube.com/watch?v=hx7BXih7zx8,1,1808
1,How I Would Learn Data Science (If I Had to Start Over),https://www.youtube.com/watch?v=4OZip0cgOho,2,515
2,Ilya Sutskever - GPT-2,https://www.youtube.com/watch?v=T0I88NhR_9M,3,2323
3,LSTM is dead. Long Live Transformers!,https://www.youtube.com/watch?v=S27pHKBEp30,4,1728
4,2020 Machine Learning Roadmap (still valid for 2021),https://www.youtube.com/watch?v=pHiMN_gy9mk,5,9434
5,"PyTorch Performance Tuning Guide - Szymon Migacz, NVIDIA",https://www.youtube.com/watch?v=9mS1fIYj1So,6,1602
6,Lecture 2 | Word Vector Representations: word2vec,https://www.youtube.com/watch?v=ERibwqs9p38,7,4697
